Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 30, 2022","38,151.92","38,266.34","37,437.71","37,917.60","37,917.60","14,643,548,444",Bitcoin (BTC)
"Jan 29, 2022","37,780.71","38,576.26","37,406.47","38,138.18","38,138.18","17,194,183,075",Bitcoin (BTC)
"Jan 28, 2022","37,128.45","37,952.88","36,211.11","37,784.33","37,784.33","22,238,830,523",Bitcoin (BTC)
"Jan 27, 2022","36,841.88","37,148.32","35,629.28","37,138.23","37,138.23","25,041,426,629",Bitcoin (BTC)
"Jan 26, 2022","36,950.52","38,825.41","36,374.91","36,852.12","36,852.12","31,324,598,034",Bitcoin (BTC)
"Jan 25, 2022","36,654.80","37,444.57","35,779.43","36,954.00","36,954.00","26,428,189,594",Bitcoin (BTC)
"Jan 24, 2022","36,275.73","37,247.52","33,184.06","36,654.33","36,654.33","41,856,658,597",Bitcoin (BTC)
"Jan 23, 2022","35,047.36","36,433.31","34,784.97","36,276.80","36,276.80","26,017,975,951",Bitcoin (BTC)
"Jan 22, 2022","36,471.59","36,688.81","34,349.25","35,030.25","35,030.25","39,714,385,405",Bitcoin (BTC)
"Jan 21, 2022","40,699.61","41,060.53","35,791.43","36,457.32","36,457.32","43,011,992,031",Bitcoin (BTC)
"Jan 20, 2022","41,744.03","43,413.02","40,672.82","40,680.42","40,680.42","20,382,033,940",Bitcoin (BTC)
"Jan 19, 2022","42,374.04","42,478.30","41,242.91","41,744.33","41,744.33","23,091,543,258",Bitcoin (BTC)
"Jan 18, 2022","42,250.07","42,534.40","41,392.21","42,375.63","42,375.63","22,417,209,227",Bitcoin (BTC)
"Jan 17, 2022","43,118.12","43,179.39","41,680.32","42,250.55","42,250.55","21,690,904,261",Bitcoin (BTC)
"Jan 16, 2022","43,172.04","43,436.81","42,691.02","43,113.88","43,113.88","17,902,097,845",Bitcoin (BTC)
"Jan 15, 2022","43,101.90","43,724.67","42,669.04","43,177.40","43,177.40","18,371,348,298",Bitcoin (BTC)
"Jan 14, 2022","42,598.87","43,346.69","41,982.62","43,099.70","43,099.70","23,577,403,399",Bitcoin (BTC)
"Jan 13, 2022","43,946.74","44,278.42","42,447.04","42,591.57","42,591.57","47,691,135,082",Bitcoin (BTC)
"Jan 12, 2022","42,742.18","44,135.37","42,528.99","43,949.10","43,949.10","33,499,938,689",Bitcoin (BTC)
"Jan 11, 2022","41,819.51","43,001.16","41,407.75","42,735.86","42,735.86","26,327,648,900",Bitcoin (BTC)
"Jan 10, 2022","41,910.23","42,199.48","39,796.57","41,821.26","41,821.26","32,104,232,331",Bitcoin (BTC)
"Jan 9, 2022","41,734.73","42,663.95","41,338.16","41,911.60","41,911.60","21,294,384,372",Bitcoin (BTC)
"Jan 8, 2022","41,561.46","42,228.94","40,672.28","41,733.94","41,733.94","28,066,355,845",Bitcoin (BTC)
"Jan 7, 2022","43,153.57","43,153.57","41,077.45","41,557.90","41,557.90","84,196,607,520",Bitcoin (BTC)
"Jan 6, 2022","43,565.51","43,748.72","42,645.54","43,160.93","43,160.93","30,208,048,289",Bitcoin (BTC)
"Jan 5, 2022","45,899.36","46,929.05","42,798.22","43,569.00","43,569.00","36,851,084,859",Bitcoin (BTC)
"Jan 4, 2022","46,458.85","47,406.55","45,752.46","45,897.57","45,897.57","42,494,677,905",Bitcoin (BTC)
"Jan 3, 2022","47,343.54","47,510.73","45,835.96","46,458.12","46,458.12","33,071,628,362",Bitcoin (BTC)
"Jan 2, 2022","47,680.93","47,881.41","46,856.94","47,345.22","47,345.22","27,951,569,547",Bitcoin (BTC)
"Jan 1, 2022","46,311.75","47,827.31","46,288.48","47,686.81","47,686.81","24,582,667,004",Bitcoin (BTC)
"Dec 31, 2021","47,169.37","48,472.53","45,819.95","46,306.45","46,306.45","36,974,172,400",Bitcoin (BTC)
