Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025",0.843766,0.929422,0.838926,0.917592,0.917592,"926,095,054",Cardano (ADA)
"Dec 31, 2024",0.860024,0.872263,0.841744,0.843765,0.843765,"677,089,128",Cardano (ADA)
"Dec 30, 2024",0.858641,0.896195,0.830983,0.860017,0.860017,"970,303,435",Cardano (ADA)
"Dec 29, 2024",0.887817,0.907943,0.852290,0.858640,0.858640,"645,859,774",Cardano (ADA)
"Dec 28, 2024",0.874775,0.895069,0.867825,0.887817,0.887817,"538,128,475",Cardano (ADA)
"Dec 27, 2024",0.859780,0.911337,0.857433,0.874768,0.874768,"885,820,827",Cardano (ADA)
"Dec 26, 2024",0.916854,0.924634,0.853079,0.859785,0.859785,"789,160,826",Cardano (ADA)
"Dec 25, 2024",0.936465,0.936551,0.904098,0.916859,0.916859,"646,314,883",Cardano (ADA)
"Dec 24, 2024",0.924243,0.947713,0.892834,0.936460,0.936460,"992,442,081",Cardano (ADA)
"Dec 23, 2024",0.882984,0.939546,0.865227,0.924246,0.924246,"1,295,330,633",Cardano (ADA)
"Dec 22, 2024",0.904687,0.921685,0.863091,0.882976,0.882976,"1,112,000,307",Cardano (ADA)
"Dec 21, 2024",0.951011,0.995910,0.889876,0.904694,0.904694,"1,542,881,115",Cardano (ADA)
"Dec 20, 2024",0.885489,0.956713,0.765889,0.951011,0.951011,"2,803,176,930",Cardano (ADA)
"Dec 19, 2024",0.968439,0.987184,0.853876,0.885502,0.885502,"2,338,441,189",Cardano (ADA)
"Dec 18, 2024",1.051527,1.057945,0.968378,0.968420,0.968420,"1,979,056,656",Cardano (ADA)
"Dec 17, 2024",1.078846,1.109043,1.045289,1.051525,1.051525,"1,578,564,654",Cardano (ADA)
"Dec 16, 2024",1.101666,1.115706,1.052016,1.078856,1.078856,"1,536,006,595",Cardano (ADA)
"Dec 15, 2024",1.060511,1.107088,1.042632,1.101708,1.101708,"1,008,997,536",Cardano (ADA)
