Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025",20.00,21.77,19.71,21.67,21.67,"670,017,230",Chainlink (LINK)
"Dec 31, 2024",20.58,21.07,19.86,20.00,20.00,"597,468,330",Chainlink (LINK)
"Dec 30, 2024",20.94,21.73,20.10,20.58,20.58,"728,410,628",Chainlink (LINK)
"Dec 29, 2024",21.97,21.97,20.78,20.94,20.94,"456,858,346",Chainlink (LINK)
"Dec 28, 2024",21.53,22.28,21.06,21.97,21.97,"729,747,342",Chainlink (LINK)
"Dec 27, 2024",22.65,23.62,21.40,21.53,21.53,"829,602,107",Chainlink (LINK)
"Dec 26, 2024",24.43,24.64,22.46,22.65,22.65,"756,276,597",Chainlink (LINK)
"Dec 25, 2024",25.44,25.53,24.21,24.43,24.43,"815,332,957",Chainlink (LINK)
"Dec 24, 2024",24.48,25.93,23.59,25.44,25.44,"1,325,641,262",Chainlink (LINK)
"Dec 23, 2024",22.05,24.89,21.55,24.48,24.48,"1,418,414,647",Chainlink (LINK)
"Dec 22, 2024",22.13,22.69,21.38,22.05,22.05,"760,283,071",Chainlink (LINK)
"Dec 21, 2024",23.36,24.89,21.85,22.13,22.13,"1,290,476,904",Chainlink (LINK)
"Dec 20, 2024",22.89,23.64,20.06,23.36,23.36,"2,000,689,009",Chainlink (LINK)
"Dec 19, 2024",24.89,25.55,21.84,22.89,22.89,"2,183,321,673",Chainlink (LINK)
"Dec 18, 2024",27.82,28.28,24.80,24.89,24.89,"1,830,073,362",Chainlink (LINK)
"Dec 17, 2024",28.74,28.98,27.46,27.82,27.82,"1,448,603,677",Chainlink (LINK)
"Dec 16, 2024",29.22,30.72,28.45,28.74,28.74,"2,177,945,359",Chainlink (LINK)
"Dec 15, 2024",29.11,29.74,28.06,29.22,29.22,"1,417,091,998",Chainlink (LINK)
"Dec 14, 2024",29.02,30.69,28.80,29.11,29.11,"2,225,370,019",Chainlink (LINK)
"Dec 13, 2024",29.28,30.81,27.63,29.02,29.02,"2,694,601,058",Chainlink (LINK)
"Dec 12, 2024",24.09,29.37,23.96,29.29,29.29,"3,621,233,210",Chainlink (LINK)
"Dec 11, 2024",22.22,24.30,21.22,24.09,24.09,"1,251,318,584",Chainlink (LINK)
"Dec 10, 2024",22.35,23.73,20.38,22.22,22.22,"2,284,650,070",Chainlink (LINK)
"Dec 9, 2024",26.14,27.26,20.42,22.35,22.35,"3,032,910,891",Chainlink (LINK)
