Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025",6.1851,6.6205,6.0518,6.5276,6.5276,"149,462,127",Cosmos (ATOM)
"Dec 31, 2024",6.3428,6.4873,6.1709,6.1850,6.1850,"142,211,452",Cosmos (ATOM)
"Dec 30, 2024",6.2896,6.5507,6.1264,6.3428,6.3428,"160,453,095",Cosmos (ATOM)
"Dec 29, 2024",6.6024,6.6427,6.2363,6.2896,6.2896,"119,216,030",Cosmos (ATOM)
"Dec 28, 2024",6.4485,6.6479,6.3886,6.6024,6.6024,"119,794,111",Cosmos (ATOM)
"Dec 27, 2024",6.4814,6.7852,6.4163,6.4482,6.4482,"150,511,836",Cosmos (ATOM)
"Dec 26, 2024",6.9349,6.9921,6.4332,6.4814,6.4814,"166,262,883",Cosmos (ATOM)
"Dec 25, 2024",7.0501,7.0954,6.8362,6.9352,6.9352,"165,206,635",Cosmos (ATOM)
"Dec 24, 2024",6.9366,7.1766,6.7234,7.0508,7.0508,"198,352,302",Cosmos (ATOM)
"Dec 23, 2024",6.3987,7.0656,6.2497,6.9366,6.9366,"238,394,193",Cosmos (ATOM)
"Dec 22, 2024",6.5169,6.7205,6.2639,6.3988,6.3988,"207,994,073",Cosmos (ATOM)
"Dec 21, 2024",6.9098,7.3328,6.4482,6.5169,6.5169,"277,281,618",Cosmos (ATOM)
"Dec 20, 2024",6.8414,7.0678,5.8589,6.9098,6.9098,"453,125,570",Cosmos (ATOM)
"Dec 19, 2024",7.6514,7.6843,6.6498,6.8422,6.8422,"447,151,154",Cosmos (ATOM)
"Dec 18, 2024",8.5251,8.6454,7.6456,7.6515,7.6515,"457,265,605",Cosmos (ATOM)
"Dec 17, 2024",8.8915,8.9573,8.4101,8.5251,8.5251,"301,258,839",Cosmos (ATOM)
"Dec 16, 2024",9.0963,9.2831,8.6599,8.8915,8.8915,"354,965,553",Cosmos (ATOM)
"Dec 15, 2024",8.9664,9.2825,8.6996,9.0962,9.0962,"296,465,422",Cosmos (ATOM)
"Dec 14, 2024",9.1951,9.3375,8.6680,8.9664,8.9664,"299,861,898",Cosmos (ATOM)
"Dec 13, 2024",8.9453,9.2502,8.7574,9.1948,9.1948,"400,946,814",Cosmos (ATOM)
"Dec 12, 2024",8.8302,9.2783,8.6311,8.9452,8.9452,"450,420,916",Cosmos (ATOM)
"Dec 11, 2024",7.9443,8.9166,7.6257,8.8302,8.8302,"403,718,853",Cosmos (ATOM)
"Dec 10, 2024",8.4271,8.5347,7.2852,7.9440,7.9440,"670,401,100",Cosmos (ATOM)
"Dec 9, 2024",10.1338,10.1338,7.8220,8.4271,8.4271,"603,596,737",Cosmos (ATOM)
"Dec 8, 2024",10.2359,10.4219,9.8685,10.1338,10.1338,"320,231,283",Cosmos (ATOM)
"Dec 7, 2024",10.4204,10.5535,10.0440,10.2023,10.2023,"328,526,587",Cosmos (ATOM)
"Dec 6, 2024",9.5899,10.5791,9.5428,10.4204,10.4204,"540,450,479",Cosmos (ATOM)
"Dec 5, 2024",9.9333,10.0619,9.4418,9.6597,9.6597,"651,018,327",Cosmos (ATOM)
"Dec 4, 2024",9.6074,10.6389,9.4869,9.9333,9.9333,"820,196,534",Cosmos (ATOM)
"Dec 3, 2024",9.5056,10.0021,9.0166,9.6074,9.6074,"762,967,079",Cosmos (ATOM)
"Dec 2, 2024",8.9188,9.5058,8.3580,9.5055,9.5055,"748,874,829",Cosmos (ATOM)
"Dec 1, 2024",8.5879,9.0204,8.3236,8.9189,8.9189,"350,117,502",Cosmos (ATOM)
"Nov 30, 2024",8.7685,8.8450,8.4232,8.5880,8.5880,"315,960,389",Cosmos (ATOM)
"Nov 29, 2024",8.2369,8.7944,8.0659,8.7686,8.7686,"284,988,663",Cosmos (ATOM)
"Nov 28, 2024",8.3348,8.3888,7.9134,8.2369,8.2369,"265,764,612",Cosmos (ATOM)
"Nov 27, 2024",8.0145,8.3790,7.8176,8.3348,8.3348,"342,906,493",Cosmos (ATOM)
"Nov 26, 2024",7.9416,8.1287,7.5181,8.0147,8.0147,"433,937,203",Cosmos (ATOM)
"Nov 25, 2024",8.7507,8.8252,7.7943,7.9412,7.9412,"472,423,321",Cosmos (ATOM)
"Nov 24, 2024",8.2224,9.5120,8.0957,8.7507,8.7507,"1,207,401,365",Cosmos (ATOM)
"Nov 23, 2024",7.5277,8.8181,7.4753,8.2224,8.2224,"933,525,356",Cosmos (ATOM)
"Nov 22, 2024",6.4269,7.5932,6.3457,7.5277,7.5277,"677,866,825",Cosmos (ATOM)
"Nov 21, 2024",6.2047,6.4917,6.0138,6.4267,6.4267,"346,078,345",Cosmos (ATOM)
"Nov 20, 2024",6.2735,6.6331,6.1027,6.2052,6.2052,"306,172,290",Cosmos (ATOM)
"Nov 19, 2024",6.4671,6.7765,6.1578,6.2735,6.2735,"433,065,377",Cosmos (ATOM)
"Nov 18, 2024",5.6802,6.5739,5.6796,6.4671,6.4671,"397,194,178",Cosmos (ATOM)
"Nov 17, 2024",6.1060,6.6144,5.5925,5.6803,5.6803,"505,771,684",Cosmos (ATOM)
"Nov 16, 2024",5.2548,6.1916,5.2532,6.1060,6.1060,"317,540,558",Cosmos (ATOM)
"Nov 15, 2024",4.9512,5.2920,4.8401,5.2643,5.2643,"254,133,292",Cosmos (ATOM)
"Nov 14, 2024",5.1218,5.2954,4.8911,4.9514,4.9514,"227,849,540",Cosmos (ATOM)
"Nov 13, 2024",5.3313,5.3567,4.8551,5.1218,5.1218,"372,844,541",Cosmos (ATOM)
"Nov 12, 2024",5.6661,5.8257,5.1462,5.3315,5.3315,"413,212,883",Cosmos (ATOM)
"Nov 11, 2024",5.2649,5.6704,5.1805,5.6661,5.6661,"331,468,179",Cosmos (ATOM)
"Nov 10, 2024",4.7987,5.5258,4.7298,5.2649,5.2649,"448,646,889",Cosmos (ATOM)
"Nov 9, 2024",4.7074,4.8280,4.6431,4.7987,4.7987,"139,587,490",Cosmos (ATOM)
"Nov 8, 2024",4.5283,4.7074,4.4707,4.7074,4.7074,"140,052,648",Cosmos (ATOM)
"Nov 7, 2024",4.5173,4.6499,4.4732,4.5283,4.5283,"126,240,032",Cosmos (ATOM)
"Nov 6, 2024",4.2028,4.5364,4.2028,4.5173,4.5173,"160,702,475",Cosmos (ATOM)
"Nov 5, 2024",3.9116,4.2113,3.9116,4.2027,4.2027,"90,719,322",Cosmos (ATOM)
"Nov 4, 2024",3.9796,4.0125,3.8408,3.9116,3.9116,"82,476,183",Cosmos (ATOM)
"Nov 3, 2024",4.0924,4.1102,3.8800,3.9796,3.9796,"99,464,926",Cosmos (ATOM)
"Nov 2, 2024",4.1709,4.2161,4.0564,4.0924,4.0924,"56,339,650",Cosmos (ATOM)
"Nov 1, 2024",4.2325,4.2924,4.1183,4.1709,4.1709,"85,708,278",Cosmos (ATOM)
"Oct 31, 2024",4.4554,4.4637,4.1926,4.2325,4.2325,"88,089,786",Cosmos (ATOM)
"Oct 30, 2024",4.5316,4.5320,4.3821,4.4554,4.4554,"94,878,116",Cosmos (ATOM)
"Oct 29, 2024",4.4585,4.6021,4.4372,4.5316,4.5316,"120,968,127",Cosmos (ATOM)
"Oct 28, 2024",4.4497,4.4955,4.2840,4.4585,4.4585,"97,835,604",Cosmos (ATOM)
"Oct 27, 2024",4.3697,4.4623,4.3207,4.4497,4.4497,"60,772,730",Cosmos (ATOM)
"Oct 26, 2024",4.3952,4.4996,4.3067,4.3697,4.3697,"96,615,682",Cosmos (ATOM)
"Oct 25, 2024",4.8353,4.8436,4.2998,4.3952,4.3952,"144,145,234",Cosmos (ATOM)
"Oct 24, 2024",4.6201,4.8356,4.5707,4.8353,4.8353,"85,190,808",Cosmos (ATOM)
"Oct 23, 2024",4.7837,4.8485,4.5652,4.6212,4.6212,"113,271,576",Cosmos (ATOM)
"Oct 22, 2024",4.9010,4.9570,4.7046,4.7836,4.7836,"121,745,080",Cosmos (ATOM)
"Oct 21, 2024",4.6839,5.0765,4.6839,4.9010,4.9010,"254,884,604",Cosmos (ATOM)
"Oct 20, 2024",4.4665,4.6842,4.3968,4.6839,4.6839,"85,429,886",Cosmos (ATOM)
"Oct 19, 2024",4.3505,4.4853,4.3505,4.4665,4.4665,"64,937,318",Cosmos (ATOM)
"Oct 18, 2024",4.2990,4.3901,4.2886,4.3505,4.3505,"88,195,464",Cosmos (ATOM)
"Oct 17, 2024",4.4401,4.4627,4.2462,4.2989,4.2989,"78,196,776",Cosmos (ATOM)
"Oct 16, 2024",4.4813,4.5091,4.3968,4.4401,4.4401,"85,995,910",Cosmos (ATOM)
"Oct 15, 2024",4.5109,4.5742,4.3829,4.4813,4.4813,"121,984,483",Cosmos (ATOM)
"Oct 14, 2024",4.3368,4.5241,4.3016,4.5109,4.5109,"91,242,358",Cosmos (ATOM)
"Oct 13, 2024",4.3506,4.3595,4.2220,4.3368,4.3368,"63,295,658",Cosmos (ATOM)
"Oct 12, 2024",4.2754,4.3859,4.2752,4.3506,4.3506,"59,474,502",Cosmos (ATOM)
"Oct 11, 2024",4.1328,4.2954,4.1119,4.2754,4.2754,"70,919,484",Cosmos (ATOM)
"Oct 10, 2024",4.2289,4.2810,4.0531,4.1328,4.1328,"85,890,870",Cosmos (ATOM)
"Oct 9, 2024",4.3448,4.3835,4.1755,4.2289,4.2289,"81,921,536",Cosmos (ATOM)
"Oct 8, 2024",4.4232,4.4633,4.3174,4.3448,4.3448,"84,600,551",Cosmos (ATOM)
"Oct 7, 2024",4.6445,4.7860,4.4222,4.4232,4.4232,"114,735,647",Cosmos (ATOM)
"Oct 6, 2024",4.6312,4.6445,4.5556,4.6445,4.6445,"50,689,617",Cosmos (ATOM)
"Oct 5, 2024",4.6154,4.7108,4.5687,4.6312,4.6312,"56,182,805",Cosmos (ATOM)
"Oct 4, 2024",4.3803,4.6231,4.3649,4.6154,4.6154,"83,549,517",Cosmos (ATOM)
"Oct 3, 2024",4.4381,4.4981,4.2369,4.3803,4.3803,"119,317,976",Cosmos (ATOM)
"Oct 2, 2024",4.4468,4.5709,4.3555,4.4382,4.4382,"120,507,057",Cosmos (ATOM)
"Oct 1, 2024",4.7284,4.8981,4.2792,4.4468,4.4468,"169,978,883",Cosmos (ATOM)
"Sep 30, 2024",5.0308,5.0524,4.7022,4.7284,4.7284,"123,745,265",Cosmos (ATOM)
"Sep 29, 2024",5.0187,5.1235,4.9606,5.0308,5.0308,"90,730,322",Cosmos (ATOM)
"Sep 28, 2024",5.1430,5.1592,4.9480,5.0187,5.0187,"80,523,594",Cosmos (ATOM)
"Sep 27, 2024",5.0097,5.1841,5.0050,5.1430,5.1430,"127,170,769",Cosmos (ATOM)
"Sep 26, 2024",4.7787,5.0910,4.7088,5.0097,5.0097,"158,425,816",Cosmos (ATOM)
"Sep 25, 2024",4.8212,4.9634,4.7507,4.7787,4.7787,"135,913,582",Cosmos (ATOM)
"Sep 24, 2024",4.5814,4.8428,4.5013,4.8212,4.8212,"134,822,691",Cosmos (ATOM)
"Sep 23, 2024",4.5958,4.7020,4.5275,4.5814,4.5814,"126,053,270",Cosmos (ATOM)
"Sep 22, 2024",4.7204,4.7243,4.4944,4.5958,4.5958,"102,115,863",Cosmos (ATOM)
"Sep 21, 2024",4.5255,4.7228,4.4694,4.7204,4.7204,"84,979,357",Cosmos (ATOM)
