Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025",0.315682,0.326478,0.311723,0.324306,0.324306,"1,532,271,286",Dogecoin (DOGE)
"Dec 31, 2024",0.313518,0.327866,0.309403,0.315681,0.315681,"2,204,579,838",Dogecoin (DOGE)
"Dec 30, 2024",0.314320,0.322480,0.306547,0.313514,0.313514,"2,526,977,895",Dogecoin (DOGE)
"Dec 29, 2024",0.323917,0.328933,0.311667,0.314320,0.314320,"1,654,780,626",Dogecoin (DOGE)
"Dec 28, 2024",0.311056,0.325858,0.311056,0.323919,0.323919,"1,410,132,054",Dogecoin (DOGE)
"Dec 27, 2024",0.312255,0.323847,0.309764,0.311036,0.311036,"2,157,162,506",Dogecoin (DOGE)
"Dec 26, 2024",0.334304,0.337381,0.308998,0.312256,0.312256,"2,514,756,816",Dogecoin (DOGE)
"Dec 25, 2024",0.336926,0.341366,0.326899,0.334319,0.334319,"2,538,802,504",Dogecoin (DOGE)
"Dec 24, 2024",0.324218,0.339434,0.316393,0.336924,0.336924,"3,138,423,654",Dogecoin (DOGE)
"Dec 23, 2024",0.312199,0.327882,0.303278,0.324219,0.324219,"4,390,431,993",Dogecoin (DOGE)
"Dec 22, 2024",0.320904,0.324032,0.305718,0.312192,0.312192,"4,115,525,341",Dogecoin (DOGE)
"Dec 21, 2024",0.317719,0.349406,0.315249,0.320951,0.320951,"6,875,286,934",Dogecoin (DOGE)
"Dec 20, 2024",0.315054,0.328057,0.264440,0.317713,0.317713,"11,414,899,319",Dogecoin (DOGE)
"Dec 19, 2024",0.358047,0.367036,0.302769,0.315066,0.315066,"9,565,836,573",Dogecoin (DOGE)
"Dec 18, 2024",0.394341,0.396163,0.356494,0.358039,0.358039,"5,749,656,033",Dogecoin (DOGE)
"Dec 17, 2024",0.401935,0.409899,0.391596,0.394337,0.394337,"3,618,256,203",Dogecoin (DOGE)
"Dec 16, 2024",0.406295,0.413594,0.392736,0.401934,0.401934,"3,891,164,219",Dogecoin (DOGE)
"Dec 15, 2024",0.397972,0.409835,0.392909,0.406272,0.406272,"2,654,366,167",Dogecoin (DOGE)
"Dec 14, 2024",0.409081,0.412754,0.388139,0.397976,0.397976,"3,165,759,137",Dogecoin (DOGE)
"Dec 13, 2024",0.406548,0.411687,0.399862,0.409081,0.409081,"3,815,608,761",Dogecoin (DOGE)
"Dec 12, 2024",0.414495,0.423359,0.401744,0.406548,0.406548,"5,601,004,925",Dogecoin (DOGE)
"Dec 11, 2024",0.394512,0.418788,0.376633,0.414492,0.414492,"6,670,843,571",Dogecoin (DOGE)
"Dec 10, 2024",0.414722,0.422407,0.366840,0.394520,0.394520,"11,257,345,383",Dogecoin (DOGE)
"Dec 9, 2024",0.467299,0.467299,0.384721,0.414719,0.414719,"11,830,538,830",Dogecoin (DOGE)
"Dec 8, 2024",0.453891,0.483510,0.448240,0.467297,0.467297,"8,171,222,257",Dogecoin (DOGE)
"Dec 7, 2024",0.435712,0.466039,0.432128,0.453887,0.453887,"8,127,914,572",Dogecoin (DOGE)
"Dec 6, 2024",0.427894,0.441782,0.421260,0.435709,0.435709,"6,668,459,793",Dogecoin (DOGE)
"Dec 5, 2024",0.431903,0.463404,0.409011,0.430586,0.430586,"15,284,058,219",Dogecoin (DOGE)
"Dec 4, 2024",0.407851,0.435626,0.401959,0.431957,0.431957,"8,065,078,709",Dogecoin (DOGE)
