Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025","3,332.41","3,366.53","3,310.26","3,353.50","3,353.50","14,195,410,493",Ethereum (ETH)
"Dec 31, 2024","3,356.39","3,444.40","3,311.41","3,332.53","3,332.53","20,845,452,085",Ethereum (ETH)
"Dec 30, 2024","3,349.59","3,428.53","3,298.80","3,356.39","3,356.39","26,981,583,962",Ethereum (ETH)
"Dec 29, 2024","3,397.86","3,406.65","3,321.66","3,349.51","3,349.51","13,440,907,792",Ethereum (ETH)
"Dec 28, 2024","3,328.77","3,419.92","3,318.03","3,397.90","3,397.90","14,305,648,523",Ethereum (ETH)
"Dec 27, 2024","3,331.05","3,436.71","3,302.58","3,328.92","3,328.92","24,091,627,403",Ethereum (ETH)
"Dec 26, 2024","3,493.30","3,512.60","3,302.31","3,331.23","3,331.23","22,247,726,776",Ethereum (ETH)
"Dec 25, 2024","3,491.96","3,542.83","3,440.10","3,493.24","3,493.24","17,651,873,225",Ethereum (ETH)
"Dec 24, 2024","3,415.74","3,535.86","3,355.61","3,492.05","3,492.05","23,083,678,195",Ethereum (ETH)
"Dec 23, 2024","3,277.51","3,461.53","3,217.37","3,415.79","3,415.79","34,496,081,389",Ethereum (ETH)
"Dec 22, 2024","3,337.00","3,398.66","3,219.29","3,277.54","3,277.54","24,780,768,375",Ethereum (ETH)
"Dec 21, 2024","3,472.59","3,552.92","3,293.51","3,337.22","3,337.22","31,579,389,836",Ethereum (ETH)
"Dec 20, 2024","3,417.93","3,496.33","3,098.20","3,472.55","3,472.55","66,383,827,229",Ethereum (ETH)
"Dec 19, 2024","3,619.58","3,717.66","3,330.87","3,417.93","3,417.93","58,879,190,250",Ethereum (ETH)
"Dec 18, 2024","3,886.89","3,902.72","3,617.84","3,618.79","3,618.79","48,946,681,636",Ethereum (ETH)
"Dec 17, 2024","3,987.33","4,040.34","3,849.29","3,886.77","3,886.77","35,418,700,472",Ethereum (ETH)
"Dec 16, 2024","3,951.65","4,106.96","3,882.71","3,987.48","3,987.48","46,536,359,669",Ethereum (ETH)
"Dec 15, 2024","3,868.44","3,971.50","3,832.10","3,951.94","3,951.94","25,069,616,984",Ethereum (ETH)
"Dec 14, 2024","3,910.85","3,943.28","3,826.76","3,868.41","3,868.41","28,756,190,559",Ethereum (ETH)
"Dec 13, 2024","3,883.03","3,967.40","3,855.02","3,911.21","3,911.21","34,895,127,659",Ethereum (ETH)
"Dec 12, 2024","3,833.17","3,987.01","3,800.09","3,883.10","3,883.10","42,971,675,764",Ethereum (ETH)
"Dec 11, 2024","3,631.28","3,850.77","3,567.57","3,832.82","3,832.82","35,968,053,196",Ethereum (ETH)
"Dec 10, 2024","3,719.00","3,780.75","3,520.37","3,631.83","3,631.83","58,416,417,599",Ethereum (ETH)
"Dec 9, 2024","4,006.10","4,008.78","3,525.23","3,718.69","3,718.69","57,029,832,059",Ethereum (ETH)
"Dec 8, 2024","4,007.69","4,018.00","3,927.85","4,005.70","4,005.70","20,943,378,971",Ethereum (ETH)
"Dec 7, 2024","4,006.03","4,029.45","3,974.18","4,002.69","4,002.69","22,574,636,761",Ethereum (ETH)
"Dec 6, 2024","3,792.21","4,093.17","3,782.68","4,005.81","4,005.81","52,853,668,566",Ethereum (ETH)
"Dec 5, 2024","3,840.84","3,956.54","3,683.42","3,811.01","3,811.01","60,568,296,606",Ethereum (ETH)
"Dec 4, 2024","3,620.04","3,895.17","3,617.74","3,841.33","3,841.33","56,799,745,752",Ethereum (ETH)
"Dec 3, 2024","3,643.74","3,670.22","3,504.23","3,620.71","3,620.71","36,839,829,742",Ethereum (ETH)
