Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025",4.9426,5.1791,4.8466,5.1086,5.1086,"195,787,944",Filecoin (FIL)
"Dec 31, 2024",4.9270,5.1106,4.8058,4.9426,4.9426,"187,031,353",Filecoin (FIL)
"Dec 30, 2024",4.9521,5.1651,4.7604,4.9270,4.9270,"254,744,392",Filecoin (FIL)
"Dec 29, 2024",5.2045,5.2220,4.9104,4.9521,4.9521,"171,051,066",Filecoin (FIL)
"Dec 28, 2024",4.9410,5.2548,4.9034,5.2045,5.2045,"205,258,595",Filecoin (FIL)
"Dec 27, 2024",4.9696,5.1905,4.8964,4.9410,4.9410,"227,618,280",Filecoin (FIL)
"Dec 26, 2024",5.2906,5.3516,4.9214,4.9696,4.9696,"256,274,066",Filecoin (FIL)
"Dec 25, 2024",5.4627,5.4871,5.2314,5.2906,5.2906,"244,507,663",Filecoin (FIL)
"Dec 24, 2024",5.1827,5.5587,5.0401,5.4627,5.4627,"369,994,632",Filecoin (FIL)
"Dec 23, 2024",4.8277,5.2436,4.7306,5.1827,5.1827,"395,664,645",Filecoin (FIL)
"Dec 22, 2024",4.9207,5.0501,4.6947,4.8280,4.8280,"424,595,248",Filecoin (FIL)
"Dec 21, 2024",5.2066,5.4720,4.8596,4.9207,4.9207,"566,759,323",Filecoin (FIL)
"Dec 20, 2024",5.0985,5.3093,4.4017,5.2066,5.2066,"988,042,935",Filecoin (FIL)
"Dec 19, 2024",5.6521,5.7226,4.9548,5.0980,5.0980,"944,350,255",Filecoin (FIL)
"Dec 18, 2024",6.2761,6.3357,5.6402,5.6521,5.6521,"676,042,794",Filecoin (FIL)
"Dec 17, 2024",6.5376,6.6475,6.2262,6.2761,6.2761,"405,626,506",Filecoin (FIL)
"Dec 16, 2024",6.7182,6.9291,6.4584,6.5376,6.5376,"443,687,824",Filecoin (FIL)
"Dec 15, 2024",6.4347,6.7708,6.3238,6.7182,6.7182,"311,784,069",Filecoin (FIL)
"Dec 14, 2024",6.7515,6.8355,6.2723,6.4347,6.4347,"305,870,123",Filecoin (FIL)
"Dec 13, 2024",6.7349,6.8365,6.5375,6.7516,6.7516,"384,316,618",Filecoin (FIL)
"Dec 12, 2024",6.6892,7.1359,6.6245,6.7349,6.7349,"584,461,972",Filecoin (FIL)
"Dec 11, 2024",6.2107,6.7780,5.9630,6.6892,6.6892,"558,389,054",Filecoin (FIL)
"Dec 10, 2024",6.2917,6.4684,5.7042,6.2107,6.2107,"985,238,287",Filecoin (FIL)
"Dec 9, 2024",7.8863,7.8866,5.7355,6.2917,6.2917,"1,355,816,757",Filecoin (FIL)
"Dec 8, 2024",7.9310,7.9507,7.6012,7.8863,7.8863,"458,259,001",Filecoin (FIL)
"Dec 7, 2024",8.0992,8.0995,7.7239,7.8353,7.8353,"481,125,822",Filecoin (FIL)
"Dec 6, 2024",7.7290,8.3024,7.6439,8.0992,8.0992,"830,940,265",Filecoin (FIL)
"Dec 5, 2024",8.0846,8.2658,7.6366,7.7412,7.7412,"1,225,572,142",Filecoin (FIL)
"Dec 4, 2024",7.3435,8.3797,7.3263,8.0846,8.0846,"1,714,303,061",Filecoin (FIL)
"Dec 3, 2024",7.2664,7.6271,6.7924,7.3435,7.3435,"1,291,876,876",Filecoin (FIL)
"Dec 2, 2024",6.8879,7.4860,6.6473,7.2663,7.2663,"1,437,250,055",Filecoin (FIL)
"Dec 1, 2024",7.0962,7.0962,6.6625,6.8878,6.8878,"685,775,658",Filecoin (FIL)
"Nov 30, 2024",6.1507,7.3119,6.0843,7.0962,7.0962,"1,011,863,987",Filecoin (FIL)
"Nov 29, 2024",5.8188,6.1648,5.6372,6.1507,6.1507,"542,343,159",Filecoin (FIL)
"Nov 28, 2024",5.8168,5.8922,5.5245,5.8188,5.8188,"458,923,321",Filecoin (FIL)
"Nov 27, 2024",5.4340,5.8401,5.3041,5.8168,5.8168,"574,573,073",Filecoin (FIL)
"Nov 26, 2024",5.4613,5.7636,5.1827,5.4340,5.4340,"676,859,631",Filecoin (FIL)
"Nov 25, 2024",5.7166,5.8455,5.3569,5.4613,5.4613,"774,068,826",Filecoin (FIL)
"Nov 24, 2024",5.3782,6.1201,5.2349,5.7166,5.7166,"1,366,298,509",Filecoin (FIL)
"Nov 23, 2024",4.9489,5.6364,4.8550,5.3782,5.3782,"1,095,488,312",Filecoin (FIL)
"Nov 22, 2024",4.5360,4.9554,4.4661,4.9489,4.9489,"484,011,713",Filecoin (FIL)
"Nov 21, 2024",4.2435,4.6543,4.0932,4.5360,4.5360,"467,021,588",Filecoin (FIL)
"Nov 20, 2024",4.4347,4.5210,4.1363,4.2435,4.2435,"310,692,449",Filecoin (FIL)
"Nov 19, 2024",4.5313,4.5742,4.3016,4.4346,4.4346,"238,313,124",Filecoin (FIL)
"Nov 18, 2024",4.3401,4.6398,4.3319,4.5313,4.5313,"394,796,863",Filecoin (FIL)
"Nov 17, 2024",4.7397,4.8530,4.2629,4.3401,4.3401,"462,658,151",Filecoin (FIL)
"Nov 16, 2024",4.1978,4.8184,4.1619,4.7395,4.7395,"524,354,903",Filecoin (FIL)
"Nov 15, 2024",3.8596,4.2564,3.7921,4.1927,4.1927,"379,168,761",Filecoin (FIL)
"Nov 14, 2024",4.0744,4.2051,3.8166,3.8596,3.8596,"312,544,486",Filecoin (FIL)
"Nov 13, 2024",4.2418,4.2879,3.8642,4.0744,4.0744,"517,538,898",Filecoin (FIL)
"Nov 12, 2024",4.4088,4.6410,4.1078,4.2417,4.2417,"655,256,099",Filecoin (FIL)
"Nov 11, 2024",4.2666,4.4110,4.1265,4.4088,4.4088,"505,392,207",Filecoin (FIL)
"Nov 10, 2024",4.0704,4.4183,4.0022,4.2666,4.2666,"515,648,563",Filecoin (FIL)
"Nov 9, 2024",3.9129,4.0734,3.7904,4.0702,4.0702,"156,407,234",Filecoin (FIL)
"Nov 8, 2024",3.7685,3.9513,3.6900,3.9129,3.9129,"265,855,473",Filecoin (FIL)
"Nov 7, 2024",3.7164,3.8249,3.6796,3.7685,3.7685,"153,246,215",Filecoin (FIL)
"Nov 6, 2024",3.3920,3.7481,3.3912,3.7164,3.7164,"239,106,103",Filecoin (FIL)
"Nov 5, 2024",3.2686,3.4293,3.2686,3.3920,3.3920,"85,524,411",Filecoin (FIL)
"Nov 4, 2024",3.3400,3.4007,3.2055,3.2686,3.2686,"92,860,474",Filecoin (FIL)
"Nov 3, 2024",3.4264,3.4364,3.2437,3.3400,3.3400,"108,237,260",Filecoin (FIL)
"Nov 2, 2024",3.4677,3.5058,3.3961,3.4264,3.4264,"53,473,009",Filecoin (FIL)
"Nov 1, 2024",3.5316,3.5803,3.4323,3.4677,3.4677,"92,732,321",Filecoin (FIL)
"Oct 31, 2024",3.7233,3.7350,3.4945,3.5316,3.5316,"96,635,453",Filecoin (FIL)
"Oct 30, 2024",3.7046,3.7847,3.6741,3.7233,3.7233,"98,750,794",Filecoin (FIL)
"Oct 29, 2024",3.6235,3.7307,3.6146,3.7046,3.7046,"104,571,291",Filecoin (FIL)
"Oct 28, 2024",3.5639,3.6605,3.4888,3.6235,3.6235,"108,065,091",Filecoin (FIL)
"Oct 27, 2024",3.4657,3.5885,3.4520,3.5639,3.5639,"56,092,040",Filecoin (FIL)
"Oct 26, 2024",3.4359,3.4785,3.3775,3.4657,3.4657,"88,855,476",Filecoin (FIL)
"Oct 25, 2024",3.7319,3.7444,3.3131,3.4360,3.4360,"137,001,217",Filecoin (FIL)
"Oct 24, 2024",3.6925,3.7646,3.6533,3.7319,3.7319,"64,767,495",Filecoin (FIL)
"Oct 23, 2024",3.7999,3.8055,3.6129,3.6785,3.6785,"81,906,382",Filecoin (FIL)
"Oct 22, 2024",3.8510,3.9046,3.7298,3.7999,3.7999,"100,179,180",Filecoin (FIL)
"Oct 21, 2024",3.9825,4.0136,3.7830,3.8510,3.8510,"108,702,210",Filecoin (FIL)
"Oct 20, 2024",3.7669,4.0078,3.7132,3.9825,3.9825,"124,212,150",Filecoin (FIL)
"Oct 19, 2024",3.7750,3.8189,3.7085,3.7669,3.7669,"61,090,924",Filecoin (FIL)
"Oct 18, 2024",3.6425,3.7750,3.6281,3.7750,3.7750,"92,750,064",Filecoin (FIL)
