Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jul 23, 2022",0.004143,0.004143,0.004143,0.004143,0.004143,-,Immutable X (IMX)
"Jul 22, 2022",0.004143,0.004143,0.004143,0.004143,0.004143,-,Immutable X (IMX)
"Jul 21, 2022",0.004143,0.004143,0.004143,0.004143,0.004143,-,Immutable X (IMX)
"Jul 20, 2022",0.004143,0.004143,0.004143,0.004143,0.004143,-,Immutable X (IMX)
"Jul 19, 2022",0.004143,0.004143,0.004143,0.004143,0.004143,-,Immutable X (IMX)
"Jul 18, 2022",0.004143,0.004143,0.004143,0.004143,0.004143,-,Immutable X (IMX)
"Jul 17, 2022",0.004115,0.004143,0.004115,0.004143,0.004143,-,Immutable X (IMX)
"Jul 16, 2022",0.026459,0.032257,0.004085,0.004115,0.004115,"169,435",Immutable X (IMX)
"Jul 15, 2022",0.027434,0.030505,0.026453,0.026459,0.026459,"12,735",Immutable X (IMX)
"Jul 14, 2022",0.025596,0.027688,0.024771,0.027434,0.027434,-,Immutable X (IMX)
"Jul 13, 2022",0.023906,0.026110,0.023832,0.025596,0.025596,"4,789",Immutable X (IMX)
"Jul 12, 2022",0.024944,0.024946,0.023590,0.023908,0.023908,"1,138",Immutable X (IMX)
"Jul 11, 2022",0.026478,0.026501,0.024880,0.024944,0.024944,11,Immutable X (IMX)
"Jul 10, 2022",0.028035,0.028055,0.026455,0.026478,0.026478,521,Immutable X (IMX)
"Jul 9, 2022",0.027798,0.028147,0.027364,0.028035,0.028035,689,Immutable X (IMX)
"Jul 8, 2022",0.028565,0.029191,0.027644,0.027799,0.027799,684,Immutable X (IMX)
"Jul 7, 2022",0.027907,0.028773,0.027230,0.028565,0.028565,880,Immutable X (IMX)
"Jul 6, 2022",0.027520,0.028079,0.026141,0.027907,0.027907,"1,104",Immutable X (IMX)
"Jul 5, 2022",0.023036,0.028007,0.021931,0.027520,0.027520,"5,451",Immutable X (IMX)
"Jul 4, 2022",0.021533,0.023041,0.021015,0.023038,0.023038,71,Immutable X (IMX)
"Jul 3, 2022",0.022075,0.022259,0.021335,0.021533,0.021533,"1,098",Immutable X (IMX)
"Jul 2, 2022",0.021469,0.022139,0.020920,0.022075,0.022075,498,Immutable X (IMX)
"Jul 1, 2022",0.021110,0.022258,0.020813,0.021469,0.021469,555,Immutable X (IMX)
"Jun 30, 2022",0.021628,0.021741,0.019910,0.021110,0.021110,-,Immutable X (IMX)
"Jun 29, 2022",0.022546,0.022732,0.021530,0.021628,0.021628,11,Immutable X (IMX)
"Jun 28, 2022",0.023574,0.024276,0.022538,0.022546,0.022546,-,Immutable X (IMX)
"Jun 27, 2022",0.023710,0.024356,0.023337,0.023574,0.023574,-,Immutable X (IMX)
"Jun 26, 2022",0.024964,0.025558,0.023707,0.023711,0.023711,433,Immutable X (IMX)
"Jun 25, 2022",0.024117,0.025059,0.023705,0.024964,0.024964,607,Immutable X (IMX)
"Jun 24, 2022",0.022692,0.024297,0.021748,0.024117,0.024117,"2,419",Immutable X (IMX)
"Jun 23, 2022",0.023494,0.025100,0.021599,0.022692,0.022692,"9,341",Immutable X (IMX)
"Jun 22, 2022",0.025079,0.025092,0.023409,0.023494,0.023494,-,Immutable X (IMX)
"Jun 21, 2022",0.025041,0.026130,0.024219,0.025093,0.025093,"2,472",Immutable X (IMX)
"Jun 20, 2022",0.024564,0.025775,0.023175,0.025042,0.025042,335,Immutable X (IMX)
"Jun 19, 2022",0.021954,0.025960,0.020767,0.024564,0.024564,"8,845",Immutable X (IMX)
"Jun 18, 2022",0.024126,0.024307,0.019712,0.021954,0.021954,116,Immutable X (IMX)
"Jun 17, 2022",0.024442,0.025542,0.023757,0.024126,0.024126,863,Immutable X (IMX)
"Jun 16, 2022",0.027321,0.028556,0.024253,0.024442,0.024442,837,Immutable X (IMX)
"Jun 15, 2022",0.028549,0.028549,0.022536,0.027320,0.027320,"4,982",Immutable X (IMX)
"Jun 14, 2022",0.029159,0.031925,0.025849,0.028549,0.028549,"20,636",Immutable X (IMX)
"Jun 13, 2022",0.035446,0.035502,0.027937,0.029159,0.029159,309,Immutable X (IMX)
"Jun 12, 2022",0.037915,0.038145,0.035183,0.035446,0.035446,"1,134",Immutable X (IMX)
"Jun 11, 2022",0.044047,0.044448,0.037899,0.037915,0.037915,"2,660",Immutable X (IMX)
