Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025",103.07,107.73,102.09,104.81,104.81,"532,072,625",Litecoin (LTC)
"Dec 31, 2024",99.31,104.50,97.81,103.07,103.07,"493,712,848",Litecoin (LTC)
"Dec 30, 2024",98.28,102.72,97.57,99.31,99.31,"594,835,260",Litecoin (LTC)
"Dec 29, 2024",100.58,101.38,96.84,98.28,98.28,"400,071,703",Litecoin (LTC)
"Dec 28, 2024",100.32,101.44,98.68,100.58,100.58,"379,869,204",Litecoin (LTC)
"Dec 27, 2024",102.14,106.14,99.75,100.31,100.31,"538,853,959",Litecoin (LTC)
"Dec 26, 2024",109.58,110.13,101.16,102.14,102.14,"571,420,833",Litecoin (LTC)
"Dec 25, 2024",108.32,110.30,107.16,109.58,109.58,"486,255,392",Litecoin (LTC)
"Dec 24, 2024",106.54,110.58,104.00,108.32,108.32,"635,428,194",Litecoin (LTC)
"Dec 23, 2024",99.58,107.34,98.17,106.54,106.54,"853,944,667",Litecoin (LTC)
"Dec 22, 2024",101.46,103.70,97.07,99.56,99.56,"661,472,495",Litecoin (LTC)
"Dec 21, 2024",101.36,105.83,98.25,101.46,101.46,"898,120,489",Litecoin (LTC)
"Dec 20, 2024",99.68,103.02,86.89,101.36,101.36,"1,435,726,361",Litecoin (LTC)
"Dec 19, 2024",108.54,111.43,95.21,99.69,99.69,"1,683,552,328",Litecoin (LTC)
"Dec 18, 2024",124.76,128.51,108.52,108.54,108.54,"1,958,584,697",Litecoin (LTC)
"Dec 17, 2024",118.15,130.59,114.82,124.76,124.76,"1,775,923,471",Litecoin (LTC)
"Dec 16, 2024",121.14,123.52,115.62,118.15,118.15,"1,084,943,495",Litecoin (LTC)
"Dec 15, 2024",118.19,122.00,114.92,121.14,121.14,"762,696,903",Litecoin (LTC)
"Dec 14, 2024",124.18,124.97,115.60,118.18,118.18,"791,737,586",Litecoin (LTC)
"Dec 13, 2024",119.27,124.77,117.44,124.18,124.18,"1,094,565,816",Litecoin (LTC)
"Dec 12, 2024",117.53,124.92,116.77,119.27,119.27,"1,343,188,269",Litecoin (LTC)
"Dec 11, 2024",109.87,118.58,106.51,117.53,117.53,"1,164,954,184",Litecoin (LTC)
"Dec 10, 2024",110.84,114.72,101.69,109.87,109.87,"2,037,589,188",Litecoin (LTC)
"Dec 9, 2024",135.17,135.17,104.14,110.84,110.84,"2,034,241,556",Litecoin (LTC)
"Dec 8, 2024",133.85,135.29,130.44,135.17,135.17,"841,654,335",Litecoin (LTC)
"Dec 7, 2024",136.24,138.58,132.20,133.85,133.85,"1,038,566,675",Litecoin (LTC)
"Dec 6, 2024",136.16,138.82,130.90,136.24,136.24,"1,390,423,679",Litecoin (LTC)
"Dec 5, 2024",134.25,146.61,125.58,135.29,135.29,"2,939,455,553",Litecoin (LTC)
"Dec 4, 2024",131.79,135.08,122.30,134.25,134.25,"1,927,342,283",Litecoin (LTC)
"Dec 3, 2024",133.27,134.55,123.52,131.79,131.79,"2,437,321,820",Litecoin (LTC)
"Dec 2, 2024",119.87,139.02,115.53,133.27,133.27,"4,378,946,142",Litecoin (LTC)
"Dec 1, 2024",102.67,120.99,99.65,119.87,119.87,"1,939,653,658",Litecoin (LTC)
"Nov 30, 2024",104.04,104.66,100.58,102.67,102.67,"807,205,071",Litecoin (LTC)
"Nov 29, 2024",95.66,104.41,94.87,104.04,104.04,"860,277,102",Litecoin (LTC)
"Nov 28, 2024",97.28,98.29,93.85,95.66,95.66,"590,244,817",Litecoin (LTC)
"Nov 27, 2024",93.04,98.99,91.78,97.28,97.28,"836,699,475",Litecoin (LTC)
"Nov 26, 2024",92.36,95.09,88.28,93.04,93.04,"863,238,776",Litecoin (LTC)
"Nov 25, 2024",96.95,98.97,91.40,92.36,92.36,"995,234,778",Litecoin (LTC)
"Nov 24, 2024",99.39,102.71,92.37,96.95,96.95,"1,275,314,163",Litecoin (LTC)
"Nov 23, 2024",92.07,105.69,92.07,99.39,99.39,"2,506,682,590",Litecoin (LTC)
"Nov 22, 2024",89.54,92.36,88.17,92.07,92.07,"1,071,379,018",Litecoin (LTC)
"Nov 21, 2024",83.37,90.93,81.88,89.54,89.54,"1,267,955,013",Litecoin (LTC)
"Nov 20, 2024",86.82,87.70,82.62,83.37,83.37,"813,559,484",Litecoin (LTC)
"Nov 19, 2024",89.18,89.98,85.39,86.82,86.82,"857,872,216",Litecoin (LTC)
"Nov 18, 2024",87.06,94.33,86.68,89.18,89.18,"1,360,023,719",Litecoin (LTC)
"Nov 17, 2024",95.32,96.93,85.19,87.06,87.06,"1,334,923,131",Litecoin (LTC)
"Nov 16, 2024",83.70,97.89,83.03,95.32,95.32,"2,147,085,221",Litecoin (LTC)
"Nov 15, 2024",82.07,87.05,79.09,83.70,83.70,"1,239,617,781",Litecoin (LTC)
"Nov 14, 2024",75.45,84.40,74.46,82.07,82.07,"1,829,780,387",Litecoin (LTC)
"Nov 13, 2024",76.93,77.83,72.06,75.45,75.45,"985,219,056",Litecoin (LTC)
"Nov 12, 2024",80.12,82.56,74.37,76.93,76.93,"1,322,213,373",Litecoin (LTC)
"Nov 11, 2024",76.52,80.18,74.82,80.12,80.12,"1,262,708,979",Litecoin (LTC)
"Nov 10, 2024",74.06,78.21,73.83,76.52,76.52,"807,368,526",Litecoin (LTC)
"Nov 9, 2024",72.80,74.14,71.79,74.06,74.06,"339,509,424",Litecoin (LTC)
"Nov 8, 2024",71.49,73.03,70.84,72.80,72.80,"379,197,013",Litecoin (LTC)
"Nov 7, 2024",71.02,72.35,70.05,71.49,71.49,"387,639,215",Litecoin (LTC)
"Nov 6, 2024",65.44,71.51,65.44,71.02,71.02,"623,921,567",Litecoin (LTC)
"Nov 5, 2024",65.49,67.22,65.20,65.44,65.44,"324,532,216",Litecoin (LTC)
"Nov 4, 2024",66.91,67.60,64.64,65.49,65.49,"275,984,609",Litecoin (LTC)
"Nov 3, 2024",69.13,69.23,65.53,66.91,66.91,"295,584,618",Litecoin (LTC)
"Nov 2, 2024",70.21,71.19,69.01,69.13,69.13,"217,833,777",Litecoin (LTC)
"Nov 1, 2024",69.20,70.94,67.79,70.21,70.21,"326,016,919",Litecoin (LTC)
