Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025",0.450546,0.476375,0.445932,0.473435,0.473435,"5,955,693",Polygon (MATIC)
"Dec 31, 2024",0.460189,0.473826,0.449916,0.450546,0.450546,"4,898,638",Polygon (MATIC)
"Dec 30, 2024",0.465142,0.475470,0.450649,0.460188,0.460188,"5,760,321",Polygon (MATIC)
"Dec 29, 2024",0.487737,0.488023,0.462071,0.465149,0.465149,"3,321,806",Polygon (MATIC)
"Dec 28, 2024",0.477876,0.489933,0.473755,0.487736,0.487736,"3,521,267",Polygon (MATIC)
"Dec 27, 2024",0.475557,0.498371,0.472757,0.477876,0.477876,"4,465,258",Polygon (MATIC)
"Dec 26, 2024",0.514219,0.516737,0.472097,0.475557,0.475557,"3,847,273",Polygon (MATIC)
"Dec 25, 2024",0.527823,0.527833,0.506939,0.514219,0.514219,"4,204,441",Polygon (MATIC)
"Dec 24, 2024",0.500331,0.531857,0.491087,0.527823,0.527823,"10,703,494",Polygon (MATIC)
"Dec 23, 2024",0.472876,0.504581,0.462722,0.500331,0.500331,"6,174,368",Polygon (MATIC)
"Dec 22, 2024",0.471335,0.488767,0.461654,0.472876,0.472876,"4,391,299",Polygon (MATIC)
"Dec 21, 2024",0.498193,0.522331,0.465552,0.471335,0.471335,"5,340,573",Polygon (MATIC)
"Dec 20, 2024",0.476795,0.503120,0.414517,0.498188,0.498188,"10,214,424",Polygon (MATIC)
"Dec 19, 2024",0.516694,0.526357,0.462061,0.476822,0.476822,"12,233,016",Polygon (MATIC)
"Dec 18, 2024",0.564821,0.566800,0.497104,0.516692,0.516692,"9,438,377",Polygon (MATIC)
"Dec 17, 2024",0.592542,0.597938,0.559644,0.564821,0.564821,"8,395,348",Polygon (MATIC)
"Dec 16, 2024",0.615137,0.623369,0.586080,0.592542,0.592542,"10,313,742",Polygon (MATIC)
"Dec 15, 2024",0.601159,0.617521,0.584578,0.615106,0.615106,"5,645,556",Polygon (MATIC)
"Dec 14, 2024",0.619229,0.627363,0.586058,0.601159,0.601159,"5,645,357",Polygon (MATIC)
"Dec 13, 2024",0.623355,0.628369,0.609391,0.619229,0.619229,"7,774,956",Polygon (MATIC)
"Dec 12, 2024",0.629764,0.667349,0.616726,0.623355,0.623355,"15,730,431",Polygon (MATIC)
"Dec 11, 2024",0.581005,0.635139,0.557489,0.629531,0.629531,"14,522,816",Polygon (MATIC)
"Dec 10, 2024",0.584266,0.602382,0.529347,0.580961,0.580961,"19,100,451",Polygon (MATIC)
