Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jul 21, 2024",7.0066,7.2432,6.7722,7.1690,7.1690,"96,426,419",Render (RNDR)
"Jul 20, 2024",6.6574,7.0076,6.5633,7.0066,7.0066,"77,253,218",Render (RNDR)
"Jul 19, 2024",6.4389,6.7548,6.3440,6.6574,6.6574,"86,873,987",Render (RNDR)
"Jul 18, 2024",6.7073,6.9941,6.2719,6.4383,6.4383,"128,713,740",Render (RNDR)
"Jul 17, 2024",6.6045,7.0440,6.4395,6.7104,6.7104,"190,139,714",Render (RNDR)
"Jul 16, 2024",6.7388,6.8070,6.3079,6.6104,6.6104,"251,840,327",Render (RNDR)
"Jul 15, 2024",6.1847,6.7643,6.1426,6.7428,6.7428,"285,250,189",Render (RNDR)
"Jul 14, 2024",6.0196,6.2586,6.0093,6.1821,6.1821,"102,131,649",Render (RNDR)
"Jul 13, 2024",6.1163,6.2365,5.9613,6.0221,6.0221,"83,929,080",Render (RNDR)
"Jul 12, 2024",5.9928,6.2195,5.6999,6.1158,6.1158,"167,025,646",Render (RNDR)
"Jul 11, 2024",6.4986,6.6514,5.9659,5.9942,5.9942,"174,476,032",Render (RNDR)
"Jul 10, 2024",6.4639,6.8946,6.3459,6.4989,6.4989,"143,810,512",Render (RNDR)
"Jul 9, 2024",6.3606,6.5181,6.2575,6.4632,6.4632,"134,796,004",Render (RNDR)
"Jul 8, 2024",6.3563,6.7829,6.0762,6.3605,6.3605,"190,069,813",Render (RNDR)
"Jul 7, 2024",7.0013,7.0013,6.3354,6.3559,6.3559,"126,762,785",Render (RNDR)
"Jul 6, 2024",6.3742,7.0459,6.3492,7.0051,7.0051,"146,352,985",Render (RNDR)
"Jul 5, 2024",6.5558,6.6647,5.7756,6.3725,6.3725,"337,776,104",Render (RNDR)
"Jul 4, 2024",7.0468,7.1771,6.5248,6.5604,6.5604,"224,454,517",Render (RNDR)
"Jul 3, 2024",7.6442,7.7113,6.9857,7.0484,7.0484,"143,995,940",Render (RNDR)
"Jul 2, 2024",7.5341,7.7664,7.4715,7.6432,7.6432,"104,899,235",Render (RNDR)
"Jul 1, 2024",7.6778,7.9347,7.4691,7.5352,7.5352,"126,444,671",Render (RNDR)
"Jun 30, 2024",7.1521,7.7409,7.0822,7.6788,7.6788,"101,402,290",Render (RNDR)
"Jun 29, 2024",7.3580,7.4516,7.1522,7.1522,7.1522,"55,602,150",Render (RNDR)
"Jun 28, 2024",7.7222,7.8327,7.3094,7.3577,7.3577,"114,139,131",Render (RNDR)
"Jun 27, 2024",7.4370,7.8890,7.2646,7.7213,7.7213,"139,682,257",Render (RNDR)
"Jun 26, 2024",7.6650,7.8000,7.3808,7.4373,7.4373,"125,916,640",Render (RNDR)
"Jun 25, 2024",7.5357,7.9122,7.4768,7.6653,7.6653,"153,825,250",Render (RNDR)
"Jun 24, 2024",7.0201,7.5714,6.7613,7.5353,7.5353,"238,540,443",Render (RNDR)
"Jun 23, 2024",7.3476,7.4678,6.9767,7.0207,7.0207,"96,416,239",Render (RNDR)
"Jun 22, 2024",7.4871,7.6572,7.3277,7.3496,7.3496,"99,948,845",Render (RNDR)
"Jun 21, 2024",7.5548,7.6515,7.3288,7.4846,7.4846,"153,397,311",Render (RNDR)
"Jun 20, 2024",7.7209,8.2617,7.5286,7.5533,7.5533,"233,631,641",Render (RNDR)
"Jun 19, 2024",7.4117,7.9471,7.3176,7.7209,7.7209,"211,890,204",Render (RNDR)
"Jun 18, 2024",7.7163,7.7238,6.7767,7.4121,7.4121,"308,649,344",Render (RNDR)
"Jun 17, 2024",8.3924,8.4677,7.4778,7.7178,7.7178,"223,609,208",Render (RNDR)
"Jun 16, 2024",7.9320,8.4834,7.7598,8.3919,8.3919,"103,240,488",Render (RNDR)
"Jun 15, 2024",7.9473,8.1678,7.8988,7.9309,7.9309,"74,845,288",Render (RNDR)
"Jun 14, 2024",8.3118,8.4390,7.6709,7.9494,7.9494,"179,268,660",Render (RNDR)
"Jun 13, 2024",9.2660,9.2794,8.2614,8.3117,8.3117,"195,075,666",Render (RNDR)
"Jun 12, 2024",8.1965,9.4563,8.0107,9.2659,9.2659,"319,538,946",Render (RNDR)
"Jun 11, 2024",8.6368,8.6539,8.0168,8.1962,8.1962,"208,984,082",Render (RNDR)
"Jun 10, 2024",9.2059,9.3237,8.6070,8.6376,8.6376,"255,408,650",Render (RNDR)
"Jun 9, 2024",9.1415,9.2418,8.9471,9.2044,9.2044,"114,410,108",Render (RNDR)
"Jun 8, 2024",9.5775,9.7098,9.0269,9.1444,9.1444,"195,866,208",Render (RNDR)
"Jun 7, 2024",10.3800,10.4684,8.5914,9.5799,9.5799,"348,055,424",Render (RNDR)
"Jun 6, 2024",10.7035,10.8746,10.3379,10.3801,10.3801,"184,567,193",Render (RNDR)
"Jun 5, 2024",10.3370,10.7700,10.3126,10.7035,10.7035,"213,926,358",Render (RNDR)
"Jun 4, 2024",10.0062,10.4297,9.9805,10.3370,10.3370,"252,674,441",Render (RNDR)
"Jun 3, 2024",9.9248,10.1425,9.8200,10.0062,10.0062,"159,179,654",Render (RNDR)
"Jun 2, 2024",10.0403,10.0941,9.7684,9.9248,9.9248,"126,811,900",Render (RNDR)
"Jun 1, 2024",10.1244,10.1373,9.9759,10.0403,10.0403,"87,583,365",Render (RNDR)
"May 31, 2024",10.0224,10.2610,9.8245,10.1244,10.1244,"234,438,349",Render (RNDR)
"May 30, 2024",10.2753,10.5758,9.9980,10.0224,10.0224,"289,708,324",Render (RNDR)
"May 29, 2024",10.2233,10.6121,10.1047,10.2753,10.2753,"389,602,826",Render (RNDR)
"May 28, 2024",10.1496,10.2430,9.8952,10.2233,10.2233,"241,204,441",Render (RNDR)
"May 27, 2024",9.9799,10.3569,9.9753,10.1496,10.1496,"214,641,443",Render (RNDR)
"May 26, 2024",10.0854,10.1674,9.8825,9.9799,9.9799,"142,590,966",Render (RNDR)
"May 25, 2024",10.1135,10.4369,10.0437,10.0854,10.0854,"165,334,251",Render (RNDR)
"May 24, 2024",10.2323,10.3069,9.7917,10.1135,10.1135,"234,472,482",Render (RNDR)
"May 23, 2024",10.6531,10.7715,9.8822,10.2323,10.2323,"572,017,324",Render (RNDR)
"May 22, 2024",11.2058,11.8183,10.6317,10.6531,10.6531,"773,333,149",Render (RNDR)
"May 21, 2024",10.8797,11.2443,10.6329,11.2058,11.2058,"452,994,470",Render (RNDR)
"May 20, 2024",10.0526,10.8951,9.8467,10.8798,10.8798,"427,036,666",Render (RNDR)
"May 19, 2024",10.3444,10.6345,10.0325,10.0526,10.0526,"312,273,592",Render (RNDR)
"May 18, 2024",10.0880,10.3604,9.8325,10.3445,10.3445,"208,352,417",Render (RNDR)
"May 17, 2024",10.0513,10.3675,9.9215,10.0880,10.0880,"300,857,080",Render (RNDR)
"May 16, 2024",10.6324,10.7798,9.8606,10.0513,10.0513,"411,648,378",Render (RNDR)
"May 15, 2024",10.0480,11.1157,9.7987,10.6308,10.6308,"668,693,607",Render (RNDR)
"May 14, 2024",11.2455,11.3791,9.8431,10.0479,10.0479,"616,693,313",Render (RNDR)
"May 13, 2024",10.8190,11.4632,10.2903,11.2455,11.2455,"450,954,870",Render (RNDR)
"May 12, 2024",10.9451,11.0886,10.7796,10.8190,10.8190,"172,172,729",Render (RNDR)
"May 11, 2024",10.9673,11.2624,10.6393,10.9451,10.9451,"250,215,492",Render (RNDR)
"May 10, 2024",10.8367,11.5697,10.7682,10.9673,10.9673,"516,224,852",Render (RNDR)
"May 9, 2024",9.8793,11.3144,9.8750,10.8367,10.8367,"594,461,901",Render (RNDR)
"May 8, 2024",10.3268,10.5417,9.4376,9.8793,9.8793,"403,158,062",Render (RNDR)
"May 7, 2024",9.9463,10.8409,9.9460,10.3268,10.3268,"491,634,696",Render (RNDR)
"May 6, 2024",9.8730,10.1429,9.5971,9.9463,9.9463,"371,432,436",Render (RNDR)
"May 5, 2024",8.9483,9.9925,8.7880,9.8730,9.8730,"350,060,919",Render (RNDR)
"May 4, 2024",8.2424,9.0828,8.2417,8.9483,8.9483,"244,358,512",Render (RNDR)
"May 3, 2024",7.8316,8.3852,7.6428,8.2424,8.2424,"146,739,872",Render (RNDR)
"May 2, 2024",7.6588,7.9382,7.3183,7.8316,7.8316,"144,265,262",Render (RNDR)
"May 1, 2024",7.3514,7.8262,6.9002,7.6588,7.6588,"225,058,597",Render (RNDR)
"Apr 30, 2024",7.8849,7.9903,7.0173,7.3514,7.3514,"161,794,483",Render (RNDR)
"Apr 29, 2024",7.9559,8.0794,7.5998,7.8848,7.8848,"120,468,213",Render (RNDR)
"Apr 28, 2024",8.0722,8.3965,7.8865,7.9559,7.9559,"162,531,624",Render (RNDR)
"Apr 27, 2024",8.1270,8.2157,7.7581,8.0722,8.0722,"186,894,679",Render (RNDR)
"Apr 26, 2024",8.6250,8.6851,8.0724,8.1270,8.1270,"133,079,560",Render (RNDR)
"Apr 25, 2024",8.4764,8.8532,8.2480,8.6250,8.6250,"152,902,407",Render (RNDR)
"Apr 24, 2024",8.9955,9.3403,8.3529,8.4762,8.4762,"203,586,511",Render (RNDR)
"Apr 23, 2024",9.2702,9.7133,8.8950,8.9955,8.9955,"209,210,004",Render (RNDR)
"Apr 22, 2024",9.0934,9.4554,8.9669,9.2702,9.2702,"198,400,720",Render (RNDR)
"Apr 21, 2024",8.9685,9.2606,8.7142,9.0935,9.0935,"164,117,321",Render (RNDR)
