Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 1, 2025",189.27,194.82,187.88,193.87,193.87,"2,324,231,668",Solana (SOL)
"Dec 31, 2024",191.05,198.68,187.98,189.26,189.26,"3,276,526,561",Solana (SOL)
"Dec 30, 2024",189.74,196.12,185.94,191.03,191.03,"3,246,300,054",Solana (SOL)
"Dec 29, 2024",195.02,197.18,188.34,189.74,189.74,"2,165,753,102",Solana (SOL)
"Dec 28, 2024",183.83,195.44,183.83,195.01,195.01,"2,158,687,217",Solana (SOL)
"Dec 27, 2024",188.22,193.75,182.95,183.83,183.83,"2,788,285,851",Solana (SOL)
"Dec 26, 2024",197.48,199.40,186.86,188.22,188.22,"2,864,701,219",Solana (SOL)
"Dec 25, 2024",196.99,201.63,195.35,197.48,197.48,"2,688,415,733",Solana (SOL)
"Dec 24, 2024",189.75,198.70,186.12,196.99,196.99,"3,412,375,255",Solana (SOL)
"Dec 23, 2024",180.17,193.05,176.72,189.75,189.75,"4,922,594,345",Solana (SOL)
"Dec 22, 2024",181.29,187.53,177.13,180.17,180.17,"4,001,292,417",Solana (SOL)
"Dec 21, 2024",194.21,201.63,178.74,181.30,181.30,"5,368,845,730",Solana (SOL)
"Dec 20, 2024",194.28,199.36,175.91,194.21,194.21,"9,600,073,165",Solana (SOL)
"Dec 19, 2024",206.38,212.00,188.03,194.28,194.28,"8,043,974,299",Solana (SOL)
"Dec 18, 2024",222.82,225.89,205.00,206.38,206.38,"6,888,988,933",Solana (SOL)
"Dec 17, 2024",216.33,228.69,211.91,222.82,222.82,"6,445,051,900",Solana (SOL)
"Dec 16, 2024",223.66,227.04,213.48,216.33,216.33,"5,071,129,914",Solana (SOL)
"Dec 15, 2024",219.84,225.07,215.91,223.66,223.66,"2,969,473,030",Solana (SOL)
"Dec 14, 2024",224.84,227.24,215.34,219.84,219.84,"2,925,240,730",Solana (SOL)
"Dec 13, 2024",227.03,228.27,220.82,224.84,224.84,"4,029,626,623",Solana (SOL)
"Dec 12, 2024",227.45,234.33,225.95,227.03,227.03,"4,935,392,005",Solana (SOL)
"Dec 11, 2024",213.84,230.51,211.99,227.45,227.45,"5,615,074,058",Solana (SOL)
"Dec 10, 2024",217.33,220.74,203.72,213.82,213.82,"8,419,973,004",Solana (SOL)
"Dec 9, 2024",237.46,237.46,209.71,217.34,217.34,"8,610,208,198",Solana (SOL)
"Dec 8, 2024",239.49,241.44,233.71,236.67,236.67,"3,204,778,349",Solana (SOL)
"Dec 7, 2024",237.05,243.12,234.66,238.55,238.55,"4,003,422,914",Solana (SOL)
"Dec 6, 2024",236.54,246.42,231.43,237.05,237.05,"6,726,557,034",Solana (SOL)
"Dec 5, 2024",229.12,244.68,223.46,234.00,234.00,"8,820,663,279",Solana (SOL)
"Dec 4, 2024",234.20,240.72,225.25,229.12,229.12,"6,569,129,896",Solana (SOL)
"Dec 3, 2024",225.77,239.27,216.47,234.20,234.20,"8,404,095,315",Solana (SOL)
"Dec 2, 2024",237.07,237.88,220.55,225.76,225.76,"7,374,176,295",Solana (SOL)
"Dec 1, 2024",237.74,239.81,234.53,237.07,237.07,"3,726,118,866",Solana (SOL)
"Nov 30, 2024",243.55,245.24,237.72,237.74,237.74,"3,549,156,564",Solana (SOL)
"Nov 29, 2024",237.76,246.78,236.82,243.55,243.55,"4,152,396,835",Solana (SOL)
"Nov 28, 2024",242.30,245.20,233.20,237.76,237.76,"4,047,310,070",Solana (SOL)
"Nov 27, 2024",230.97,243.12,228.13,242.30,242.30,"5,381,404,312",Solana (SOL)
"Nov 26, 2024",234.45,239.64,222.96,230.98,230.98,"6,996,936,265",Solana (SOL)
"Nov 25, 2024",252.92,256.42,231.55,234.45,234.45,"6,616,015,635",Solana (SOL)
"Nov 24, 2024",255.18,259.63,243.12,252.92,252.92,"5,330,146,683",Solana (SOL)
"Nov 23, 2024",256.52,263.83,253.19,255.18,255.18,"6,234,742,858",Solana (SOL)
"Nov 22, 2024",257.08,263.70,252.14,256.52,256.52,"7,249,493,783",Solana (SOL)
"Nov 21, 2024",235.43,259.05,230.34,257.07,257.07,"10,735,314,060",Solana (SOL)
"Nov 20, 2024",238.09,242.11,230.91,235.42,235.42,"6,454,141,445",Solana (SOL)
"Nov 19, 2024",239.80,247.09,234.15,238.10,238.10,"6,711,919,414",Solana (SOL)
"Nov 18, 2024",237.58,248.19,234.40,239.79,239.79,"8,798,714,213",Solana (SOL)
"Nov 17, 2024",215.85,241.24,212.73,237.58,237.58,"9,981,076,722",Solana (SOL)
"Nov 16, 2024",218.57,221.66,213.80,215.85,215.85,"4,698,955,745",Solana (SOL)
"Nov 15, 2024",209.24,219.54,204.83,218.09,218.09,"6,109,860,311",Solana (SOL)
"Nov 14, 2024",215.18,222.64,207.50,209.22,209.22,"8,094,554,275",Solana (SOL)
"Nov 13, 2024",212.21,220.34,201.47,215.18,215.18,"11,296,665,808",Solana (SOL)
